medalist_wikidata_id,medalist_link,medalist_name,medal,delegation_wikidata_id,delegation_name,country_medal_wikidata_id,country_medal,country_medal_code2,country_medal_code3,date_of_birth,Age this year,place_of_birth_wikidata_id,place_of_birth,place_of_birth_county_in_wikidata_id,place_of_birth_county,sex_or_gender_wikidata_id,sex_or_gender,event_wikidata_id,event_link,event_name,event_part_of,sport
Q66739300,https://en.wikipedia.org/wiki/Sun_Mengya,Sun Mengya,gold,Q114672489,China at the 2024 Summer Olympics,Q148,People's Republic of China,CN,CHN,3/5/2001,23.00,Q1198168,Tai'erzhuang District,Q147187,Zaozhuang,Q6581072,female,Q117156596,https://en.wikipedia.org/wiki/Canoeing_at_the_2024_Summer_Olympics_%E2%80%93_Women%27s_C-2_500_metres,Canoeing at the 2024 Summer Olympics – Women's C-2 500 metres,canoeing at the 2024 Summer Olympics,canoeing and kayaking
Q61045746,https://en.wikipedia.org/wiki/Fabio_Van_den_Bossche,Fabio Van den Bossche,bronze,Q114401502,Belgium at the 2024 Summer Olympics,Q31,Belgium,BE,BEL,21/9/2000,23.00,Q1296,Ghent,Q90948,Arrondissement of Ghent,Q6581097,male,Q117156501,https://en.wikipedia.org/wiki/Cycling_at_the_2024_Summer_Olympics_%E2%80%93_Men%27s_omnium,cycling at the 2024 Summer Olympics – men's omnium,track cycling at the 2024 Summer Olympics,track cycling
Q86530997,https://en.wikipedia.org/wiki/Jonathan_Milan,Jonathan Milan,bronze,Q114244642,Italy at the 2024 Summer Olympics,Q38,Italy,IT,ITA,1/10/2000,23.00,Q53381,Tolmezzo,Q104182212,regional decentralization entity of Udine,Q6581097,male,Q117156505,https://en.wikipedia.org/wiki/Cycling_at_the_2024_Summer_Olympics_%E2%80%93_Men%27s_team_pursuit,cycling at the 2024 Summer Olympics – men's team pursuit,track cycling at the 2024 Summer Olympics,track cycling
Q125626099,https://en.wikipedia.org/wiki/Shaane_Fulton,Shaane Fulton,silver,Q114244700,New Zealand at the 2024 Summer Olympics,Q664,New Zealand,NZ,NZL,3/10/2000,23.00,Q206687,Nelson,Q32294447,Nelson City,Q6581072,female,Q117156511,https://en.wikipedia.org/wiki/Cycling_at_the_2024_Summer_Olympics_%E2%80%93_Women%27s_team_sprint,cycling at the 2024 Summer Olympics – women's team sprint,cycling at the 2024 Summer Olympics,track cycling
Q56709426,https://en.wikipedia.org/wiki/Vittoria_Guazzini,Vittoria Guazzini,gold,Q114244642,Italy at the 2024 Summer Olympics,Q38,Italy,IT,ITA,26/12/2000,23.00,Q103219,Pontedera,Q16244,Province of Pisa,Q6581072,female,Q117156498,https://en.wikipedia.org/wiki/Cycling_at_the_2024_Summer_Olympics_%E2%80%93_Women%27s_Madison,cycling at the 2024 Summer Olympics – women's madison,track cycling at the 2024 Summer Olympics,track cycling
Q77974310,https://en.wikipedia.org/wiki/Ally_Wollaston,Ally Wollaston,bronze,Q114244700,New Zealand at the 2024 Summer Olympics,Q664,New Zealand,NZ,NZL,4/1/2001,23.00,Q37100,Auckland,Q726917,Auckland Region,Q6581072,female,Q117156500,https://en.wikipedia.org/wiki/Cycling_at_the_2024_Summer_Olympics_%E2%80%93_Women%27s_omnium,cycling at the 2024 Summer Olympics – women's omnium,track cycling at the 2024 Summer Olympics,cycle sport
Q77974310,https://en.wikipedia.org/wiki/Ally_Wollaston,Ally Wollaston,silver,Q114244700,New Zealand at the 2024 Summer Olympics,Q664,New Zealand,NZ,NZL,4/1/2001,23.00,Q37100,Auckland,Q726917,Auckland Region,Q6581072,female,Q117156502,https://en.wikipedia.org/wiki/Cycling_at_the_2024_Summer_Olympics_%E2%80%93_Women%27s_team_pursuit,cycling at the 2024 Summer Olympics – women's team pursuit,track cycling at the 2024 Summer Olympics,track cycling
Q61080493,https://en.wikipedia.org/wiki/Zo%C3%A9_Claessens,Zoé Claessens,bronze,Q114244740,Switzerland at the 2024 Summer Olympics,Q39,Switzerland,CH,CHE,28/4/2001,23.00,Q68742,Echichens,Q12771,canton Vaud,Q6581072,female,Q117156491,https://en.wikipedia.org/wiki/Cycling_at_the_2024_Summer_Olympics_%E2%80%93_Women%27s_BMX_racing,cycling at the 2024 Summer Olympics – women's BMX race,cycling at the 2024 Summer Olympics,BMX
Q113512555,https://en.wikipedia.org/wiki/Kieran_Reilly,Kieran Reilly,silver,Q42911977,Great Britain at the 2024 Summer Olympics,Q145,United Kingdom,GB,GBR,12/7/2001,23.00,Q1425428,Newcastle upon Tyne,Q21012735,Newcastle upon Tyne,Q6581097,male,Q117156490,https://en.wikipedia.org/wiki/Cycling_at_the_2024_Summer_Olympics_%E2%80%93_Men%27s_BMX_freestyle,cycling at the 2024 Summer Olympics – men's BMX freestyle,cycling at the 2024 Summer Olympics,BMX
Q33083276,https://en.wikipedia.org/wiki/Lian_Junjie,Lian Junjie,gold,Q114672489,China at the 2024 Summer Olympics,Q148,People's Republic of China,CN,CHN,3/11/2000,23.00,Q571652,Wuzhou,Q15176,Guangxi,Q6581097,male,Q116496021,https://en.wikipedia.org/wiki/Diving_at_the_2024_Summer_Olympics_%E2%80%93_Men%27s_synchronized_10_metre_platform,Diving at the 2024 Summer Olympics – Men's synchronized 10 metre platform,diving at the 2024 Summer Olympics,diving
Q26664061,https://en.wikipedia.org/wiki/Kim_Mi-rae,Kim Mi-rae,bronze,Q123010892,North Korea at the 2024 Summer Olympics,Q423,North Korea,KP,PRK,7/4/2001,23.00,Q18808,Pyongyang,Q423,North Korea,Q6581072,female,Q116496010,https://en.wikipedia.org/wiki/Diving_at_the_2024_Summer_Olympics_%E2%80%93_Women%27s_10_metre_platform,Diving at the 2024 Summer Olympics – Women's 10 metre platform,diving at the 2024 Summer Olympics,diving
Q26664061,https://en.wikipedia.org/wiki/Kim_Mi-rae,Kim Mi-rae,silver,Q123010892,North Korea at the 2024 Summer Olympics,Q423,North Korea,KP,PRK,7/4/2001,23.00,Q18808,Pyongyang,Q423,North Korea,Q6581072,female,Q116496019,https://en.wikipedia.org/wiki/Diving_at_the_2024_Summer_Olympics_%E2%80%93_Women%27s_synchronized_10_metre_platform,Diving at the 2024 Summer Olympics – Women's synchronized 10 metre platform,diving at the 2024 Summer Olympics,diving
Q126684394,https://en.wikipedia.org/wiki/Park_Sang-won_(fencer),Park Sang-won,gold,Q114753595,South Korea at the 2024 Summer Olympics,Q884,South Korea,KR,KOR,14/9/2000,23.00,NA,NA,NA,NA,Q6581097,male,Q117156531,https://en.wikipedia.org/wiki/Fencing_at_the_2024_Summer_Olympics_%E2%80%93_Men%27s_team_sabre,fencing at the 2024 Summer Olympics – men's team sabre,fencing at the 2024 Summer Olympics,fencing
Q121048422,https://en.wikipedia.org/wiki/Jeon_Ha-young,Jeon Ha-young,silver,Q114753595,South Korea at the 2024 Summer Olympics,Q884,South Korea,KR,KOR,18/8/2001,23.00,Q20921,Daejeon,Q884,South Korea,Q6581072,female,Q117156529,https://en.wikipedia.org/wiki/Fencing_at_the_2024_Summer_Olympics_%E2%80%93_Women%27s_team_sabre,fencing at the 2024 Summer Olympics – women's team sabre,fencing at the 2024 Summer Olympics,fencing
Q107177406,https://en.wikipedia.org/wiki/Justen_Blok,Justen Blok,gold,Q42911949,Netherlands at the 2024 Summer Olympics,Q55,Netherlands,NL,NLD,27/9/2000,23.00,Q34370,Rotterdam,Q2680952,Rotterdam,Q6581097,male,Q115799683,https://en.wikipedia.org/wiki/Field_hockey_at_the_2024_Summer_Olympics_%E2%80%93_Men%27s_tournament,field hockey at the 2024 Summer Olympics – men's tournament,field hockey at the 2024 Summer Olympics,field hockey
Q113136240,https://en.wikipedia.org/wiki/Floris_Middendorp,Floris Middendorp,gold,Q42911949,Netherlands at the 2024 Summer Olympics,Q55,Netherlands,NL,NLD,4/6/2001,23.00,Q58797,Hattem,Q775,Gelderland,Q6581097,male,Q115799683,https://en.wikipedia.org/wiki/Field_hockey_at_the_2024_Summer_Olympics_%E2%80%93_Men%27s_tournament,field hockey at the 2024 Summer Olympics – men's tournament,field hockey at the 2024 Summer Olympics,field hockey
Q123092693,https://en.wikipedia.org/wiki/Sanjay_(field_hockey),Sanjay Rana,bronze,Q114344830,India at the 2024 Summer Olympics,Q668,India,IN,IND,5/5/2001,23.00,Q1190879,Dabra,Q2085310,Gwalior district,Q6581097,male,Q115799683,https://en.wikipedia.org/wiki/Field_hockey_at_the_2024_Summer_Olympics_%E2%80%93_Men%27s_tournament,field hockey at the 2024 Summer Olympics – men's tournament,field hockey at the 2024 Summer Olympics,field hockey
Q112624363,https://en.wikipedia.org/wiki/Luna_Fokke,Luna Fokke,gold,Q42911949,Netherlands at the 2024 Summer Olympics,Q55,Netherlands,NL,NLD,9/3/2001,23.00,Q1616233,Leidschendam,Q112675,Leidschendam-Voorburg,Q6581072,female,Q115799682,https://en.wikipedia.org/wiki/Field_hockey_at_the_2024_Summer_Olympics_%E2%80%93_Women%27s_tournament,field hockey at the 2024 Summer Olympics – women's tournament,field hockey at the 2024 Summer Olympics,field hockey
Q112261908,https://en.wikipedia.org/wiki/Ma_Ning_(field_hockey),Ma Ning,silver,Q114672489,China at the 2024 Summer Olympics,Q148,People's Republic of China,CN,CHN,29/9/2000,23.00,NA,NA,NA,NA,Q6581072,female,Q115799682,https://en.wikipedia.org/wiki/Field_hockey_at_the_2024_Summer_Olympics_%E2%80%93_Women%27s_tournament,field hockey at the 2024 Summer Olympics – women's tournament,field hockey at the 2024 Summer Olympics,field hockey
